REGIAO:;SE
UF:;RJ
ESTACAO:;ANGRA DOS REIS
CODIGO (WMO):;A628
LATITUDE:;-22,97555554
LONGITUDE:;-44,30333333
ALTITUDE:;6
DATA DE FUNDACAO:;25/08/17
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2021/01/01;0000 UTC;0;1013,3;1013,3;1012,8;;24,2;22,5;24,6;24,2;22,8;22,5;91;89;90;111;2,4;,2;
2021/01/01;0100 UTC;0;1013,6;1013,6;1013,3;;24;22,3;24,4;24;22,5;22,3;90;88;90;106;2,1;0;
2021/01/01;0200 UTC;0;1013;1013,6;1013;;23,7;22,1;24;23,6;22,3;22;91;90;91;93;2;0;
2021/01/01;0300 UTC;;;;;;;;;;;;;;;;;;
2021/01/01;0400 UTC;;;;;;;;;;;;;;;;;;
2021/01/01;0500 UTC;;;;;;;;;;;;;;;;;;
2021/01/01;0600 UTC;;;;;;;;;;;;;;;;;;
2021/01/01;0700 UTC;;;;;;;;;;;;;;;;;;
2021/01/01;0800 UTC;;;;;;;;;;;;;;;;;;
2021/01/01;0900 UTC;0;1012,6;;;44,3;22,6;21,1;;;;;;;91;130;;,1;
2021/01/01;1000 UTC;0;1012,9;1013;1012,6;236;23,5;21,6;23,7;22,6;21,7;21;91;88;89;106;2,2;,1;
2021/01/01;1100 UTC;0;1013,1;1013,1;1012,8;406,4;25;22,3;25;23,5;22,6;21,6;90;85;85;298;2,2;0;
2021/01/01;1200 UTC;0;1013,2;1013,3;1013,1;969,8;26,5;22,6;26,6;24,9;22,6;22;85;79;79;245;1,2;0;
2021/01/01;1300 UTC;0;1013,5;1013,5;1013,2;1119,5;26,7;22,9;27,1;26,4;23,8;22,3;82;77;80;286;3,1;1,4;
2021/01/01;1400 UTC;0;1013,7;1013,7;1013,5;847,3;26,4;23,3;26,9;26,2;23,7;22,4;85;78;83;283;3,1;,8;
2021/01/01;1500 UTC;0;1013,8;1013,8;1013,7;1045,6;26,8;23,2;27,4;26,4;24,2;22,3;85;75;81;287;2,1;,3;
2021/01/01;1600 UTC;0;1013,4;1013,9;1013,4;1228,6;27,7;23,3;28;26,8;23,9;22,5;83;74;77;277;1,8;,2;
2021/01/01;1700 UTC;0;1013;1013,5;1013;1347;28,7;23,7;28,9;27,6;24,1;22,5;80;69;75;204;2,9;,2;
2021/01/01;1800 UTC;0;1012,5;1013;1012,5;1018;27,7;22,7;28,6;27,6;24,4;22,5;80;74;74;164;3,7;,5;
2021/01/01;1900 UTC;0;1011,7;1012,5;1011,7;675,6;26,8;22,5;27,8;26,4;23,3;22,3;82;73;77;164;4,5;1,3;
2021/01/01;2000 UTC;0;1012;1012;1011,6;694,3;27;23,3;27,2;26,7;23,4;22,2;80;75;80;181;5,2;1,6;
2021/01/01;2100 UTC;0;1013;1013,1;1012;471,9;26,7;22,9;27,1;26,6;23,4;22,8;82;78;80;203;5,2;,1;
2021/01/01;2200 UTC;0;1013,4;1013,5;1013;64;25,7;22,6;26,7;25,6;23,2;22,6;84;80;83;240;2,1;0;
2021/01/01;2300 UTC;0;1013,6;1013,6;1013,4;,7;25,5;23;25,7;25,3;23,1;22,5;87;83;86;86;1,7;,1;
2021/01/02;0000 UTC;0;1014,6;1014,6;1013,6;,5;25,2;23;25,5;25,2;23,2;23;88;86;87;92;2;0;
2021/01/02;0100 UTC;0;1014,9;1014,9;1014,6;;24,9;22,8;25,4;24,9;23,3;22,7;89;87;88;87;2,8;,1;
2021/01/02;0200 UTC;0;1014,8;1014,9;1014,7;;24,5;22,6;25;24,3;22,8;22,6;91;87;89;120;2,5;0;
2021/01/02;0300 UTC;;;;;;;;;;;;;;;;;;
2021/01/02;0400 UTC;;;;;;;;;;;;;;;;;;
2021/01/02;0500 UTC;;;;;;;;;;;;;;;;;;
2021/01/02;0600 UTC;;;;;;;;;;;;;;;;;;
2021/01/02;0700 UTC;;;;;;;;;;;;;;;;;;
2021/01/02;0800 UTC;;;;;;;;;;;;;;;;;;
2021/01/02;0900 UTC;,4;1013,4;;;7,2;23,1;22,7;;;;;;;97;278;;0;
2021/01/02;1000 UTC;0;1013,3;1013,4;1013;96,5;23,3;22,9;23,5;23,1;23,1;22,7;97;97;97;304;1,8;0;
2021/01/02;1100 UTC;3,8;1013,4;1013,6;1013,3;209,2;23,5;23;23,6;23,2;23,1;22,7;97;96;97;316;2,3;,1;
2021/01/02;1200 UTC;1;1013,6;1013,8;1013,3;610;24,2;23;24,4;23,4;23,5;22,7;97;92;93;317;2,1;,7;
2021/01/02;1300 UTC;21;1014;1014,1;1013,6;310,5;23,2;22,8;24,5;23;23,4;22,2;98;92;98;190;3,4;,3;
2021/01/02;1400 UTC;5,8;1014,1;1014,2;1013,9;399,4;23,4;23;23,7;23,2;23,3;22,7;98;97;98;205;2,4;,2;
2021/01/02;1500 UTC;2,4;1014;1014,1;1014;625,2;24,1;23,6;24,2;23,3;23,6;22,8;98;96;97;198;3,3;0;
2021/01/02;1600 UTC;0;1013,3;1014;1013,3;746,8;24,6;22,7;24,7;23,8;23,5;22,3;97;88;89;196;4,7;,9;
2021/01/02;1700 UTC;1,2;1013;1013,3;1012,9;351,5;23,9;22,3;24,8;23,9;23,1;22,3;92;88;91;233;4,7;0;
2021/01/02;1800 UTC;1,2;1012,9;1013;1012,9;156,6;23,5;22,8;23,9;23,5;22,9;22,1;96;91;96;239;2,7;0;
2021/01/02;1900 UTC;4,8;1012,6;1012,9;1012,5;75,7;22,8;22,4;23,4;22,6;22,8;22;97;96;97;197;5;,3;
2021/01/02;2000 UTC;2,6;1012,6;1012,8;1012,4;52,7;22,8;22,3;22,9;22,5;22,5;22;97;97;97;142;3,3;,1;
2021/01/02;2100 UTC;1,6;1012,9;1013;1012,4;57,5;21,9;21;22,8;21,8;22,3;20,3;97;89;95;272;4,1;0;
2021/01/02;2200 UTC;0;1013,4;1013,4;1012,9;26,5;22;21,1;22,5;21,7;21,5;21;96;93;94;41;2;0;
2021/01/02;2300 UTC;0;1013,5;1013,5;1013,3;4,7;21,6;20,8;22,1;21,5;21,2;20,8;96;94;95;69;2,7;,9;
2021/01/03;0000 UTC;0;1014;1014;1013,4;3,5;21,6;20,9;21,7;21,6;21;20,8;96;95;96;90;2,7;0;
2021/01/03;0100 UTC;;;;;;;;;;;;;;;;;;
2021/01/03;0200 UTC;;;;;;;;;;;;;;;;;;
2021/01/03;0300 UTC;;;;;;;;;;;;;;;;;;
2021/01/03;0400 UTC;;;;;;;;;;;;;;;;;;
2021/01/03;0500 UTC;;;;;;;;;;;;;;;;;;
2021/01/03;0600 UTC;;;;;;;;;;;;;;;;;;
2021/01/03;0700 UTC;;;;;;;;;;;;;;;;;;
2021/01/03;0800 UTC;;;;;;;;;;;;;;;;;;
2021/01/03;0900 UTC;0;1012,4;;;5,6;20,9;20,5;;;;;;;98;;;;
2021/01/03;1000 UTC;0;1012,7;1012,7;1012,4;261,3;21,7;21,3;21,7;20,7;21,3;20,3;98;97;97;350;2;0;
2021/01/03;1100 UTC;0;1013,1;1013,1;1012,6;965,5;22,8;19,9;23,1;21,7;21,6;19,9;97;84;84;317;3,6;,2;
2021/01/03;1200 UTC;0;1013,1;1013,2;1013,1;2167,8;24,8;20,7;25,2;22,7;21,7;19,8;85;77;78;315;3,8;1,1;
2021/01/03;1300 UTC;,2;1013,2;1013,2;1013,1;2113,3;26;21,9;26,3;24,4;22,3;20;82;75;78;186;4,2;1,2;
2021/01/03;1400 UTC;0;1012,7;1013,2;1012,7;3378,4;26,9;21,4;28;26;23,1;21,4;79;69;72;179;5,4;,9;
2021/01/03;1500 UTC;0;1012,7;1012,8;1012,7;2612,5;27,9;22,9;27,9;26,1;23,7;21,1;80;71;74;173;5,4;1,6;
2021/01/03;1600 UTC;0;1012,6;1012,7;1012,6;3273,4;27,3;21,9;28,6;26,9;23,1;21;77;67;73;184;6,5;2,1;
2021/01/03;1700 UTC;0;1012,3;1012,6;1012,3;1950,8;26,4;21,6;28,8;26,4;23,1;21,1;76;68;75;188;6,5;1,4;
2021/01/03;1800 UTC;0;1011,7;1012,3;1011,7;670,5;25,3;21,6;26,7;25,3;22,2;21;80;73;80;196;4,7;,4;
2021/01/03;1900 UTC;,2;1012,1;1012,1;1011,6;207,6;24,7;21,8;25,4;24,7;22,7;21,4;86;80;84;200;3,3;0;
2021/01/03;2000 UTC;1,4;1011,2;1012,2;1011,2;99,9;23,8;21,8;24,7;23,7;21,9;21,3;89;83;89;223;5,8;,1;
2021/01/03;2100 UTC;7,4;1012,3;1012,3;1011,2;32,2;22,8;21,5;24,3;22,8;22,2;21,4;93;87;92;82;6,4;,8;
2021/01/03;2200 UTC;8,2;1012,8;1012,8;1012,2;10,4;22,6;22,1;22,9;22,3;22,2;21,4;97;92;97;218;3,5;,2;
2021/01/03;2300 UTC;0;1013;1013;1012,5;1,9;22,8;22,3;23;22,5;22,6;22;98;97;97;24;2,2;,5;
2021/01/04;0000 UTC;,6;1013,6;1013,7;1013;1,3;22,6;22,2;22,9;22,5;22,5;22;98;97;98;112;2,5;,1;
2021/01/04;0100 UTC;0;1014;1014;1013,5;1,2;22,4;21,8;22,7;22,4;22,2;21,8;98;96;96;294;2,9;1;
2021/01/04;0200 UTC;;;;;;;;;;;;;;;;;;
2021/01/04;0300 UTC;;;;;;;;;;;;;;;;;;
2021/01/04;0400 UTC;;;;;;;;;;;;;;;;;;
2021/01/04;0500 UTC;;;;;;;;;;;;;;;;;;
2021/01/04;0600 UTC;;;;;;;;;;;;;;;;;;
2021/01/04;0700 UTC;;;;;;;;;;;;;;;;;;
2021/01/04;0800 UTC;;;;;;;;;;;;;;;;;;
2021/01/04;0900 UTC;0;1012,7;;;35,9;21,3;20,8;;;;;;;97;109;;0;
2021/01/04;1000 UTC;0;1013;1013,1;1012,7;283;23;21,2;23;21,3;21,9;20,8;97;90;90;105;2,3;,1;
2021/01/04;1100 UTC;0;1012,6;1013;1012,6;1048,7;24,4;21,4;24,8;23;21,8;20,7;91;81;83;303;2,2;,6;
2021/01/04;1200 UTC;0;1012,1;1012,6;1012,1;2295,4;26,4;21,2;26,4;24,4;21,8;20,2;84;71;73;269;2,7;,7;
2021/01/04;1300 UTC;0;1011,6;1012,1;1011,6;3161,7;27,2;22,9;28,1;25,9;23,4;20,1;78;69;77;181;4,9;2,1;
2021/01/04;1400 UTC;0;1011,3;1011,6;1011,3;3255,6;27,9;22;28,3;26,5;23,6;21,6;79;70;71;197;6,1;1,7;
2021/01/04;1500 UTC;0;1011,5;1011,5;1011,2;3690,6;28,1;22,2;28,8;27,7;23,3;21;73;65;70;181;7,1;2,3;
2021/01/04;1600 UTC;0;1011,6;1011,6;1011,4;1826,4;27,1;22,7;28,9;26,8;23;21,4;77;67;77;176;6,5;2,1;
2021/01/04;1700 UTC;0;1011,6;1011,6;1011,4;1054,5;26,7;22,4;27,6;26,6;23,1;21,8;79;73;78;190;6;,9;
2021/01/04;1800 UTC;,2;1011,1;1011,7;1011,1;1539,3;27,1;22,4;27,5;26;24,5;22,2;87;75;75;302;2,9;1;
2021/01/04;1900 UTC;0;1011,1;1011,3;1011;1237,9;27,6;23,6;27,7;26,8;23,6;21,5;79;70;79;204;2,9;,1;
2021/01/04;2000 UTC;0;1011,3;1011,3;1010,8;904;26,6;21,7;28,4;26,5;23,7;21,1;79;71;74;233;3,2;,3;
2021/01/04;2100 UTC;0;1012,3;1012,3;1011,3;89,2;25,9;21,4;26,6;25,9;22,6;21;80;75;76;213;3,4;,1;
2021/01/04;2200 UTC;0;1012,9;1013;1012,3;18,3;25,2;22,4;25,9;25,2;22,4;21,2;84;76;84;90;4,9;,8;
2021/01/04;2300 UTC;0;1013,1;1013,1;1012,8;;24,4;22,1;25,2;24,3;22,4;21,9;89;84;87;269;4,9;,1;
2021/01/05;0000 UTC;0;1013,6;1013,6;1013;;23,7;22;24,5;23,7;22,2;21,9;90;86;90;94;2,9;,2;
2021/01/05;0100 UTC;0;1014;1014;1013,6;;23,7;21,9;23,7;23,5;22;21,8;91;90;90;79;2,1;,1;
2021/01/05;0200 UTC;;;;;;;;;;;;;;;;;;
2021/01/05;0300 UTC;;;;;;;;;;;;;;;;;;
2021/01/05;0400 UTC;;;;;;;;;;;;;;;;;;
2021/01/05;0500 UTC;;;;;;;;;;;;;;;;;;
2021/01/05;0600 UTC;;;;;;;;;;;;;;;;;;
2021/01/05;0700 UTC;;;;;;;;;;;;;;;;;;
2021/01/05;0800 UTC;;;;;;;;;;;;;;;;;;
2021/01/05;0900 UTC;0;1012,4;;;31,6;21,6;20,9;;;;;;;96;131;;,1;
2021/01/05;1000 UTC;0;1013;1013;1012,4;322,8;23,7;21,7;23,7;21,6;21,8;20,9;96;88;89;58;1,7;,4;
2021/01/05;1100 UTC;0;1012,9;1013;1012,9;649,4;24,9;22,3;24,9;23,7;22,3;21,4;89;84;86;278;1,7;0;
2021/01/05;1200 UTC;,2;1012,7;1012,9;1012,7;1269,5;26,6;22,1;26,6;24,7;22,6;21,4;86;76;76;263;1,6;0;
2021/01/05;1300 UTC;0;1012,6;1012,7;1012,6;3032,1;27,3;22,3;28,3;26,5;23,4;21,5;77;69;74;283;3,4;1,6;
2021/01/05;1400 UTC;0;1012,4;1012,6;1012,3;2551,3;28,6;23,3;29,2;27,1;24;21,5;78;68;73;172;4,6;1,8;
2021/01/05;1500 UTC;0;1011,8;1012,4;1011,8;2522;28,3;23;29,4;28,3;23,9;22,5;75;68;73;186;5,4;2;
2021/01/05;1600 UTC;0;1011,8;1011,8;1011,7;3192,8;30;23,8;30,7;28,2;24,9;23;77;67;69;181;5,4;1,4;
2021/01/05;1700 UTC;0;1011,3;1011,8;1011,3;3410,9;29,9;24,8;31,1;29;25,3;23,2;75;67;74;273;4,5;1,6;
2021/01/05;1800 UTC;0;1010,6;1011,3;1010,6;3042,4;30,9;24,1;31,3;29,6;25,7;23,4;75;65;67;188;7,2;2;
2021/01/05;1900 UTC;0;1009,8;1010,6;1009,8;2072,3;31,2;24,3;31,5;29,8;25,5;23,5;75;65;67;180;5;1,4;
2021/01/05;2000 UTC;0;1010;1010;1009,7;1262,7;29,1;24,3;31,7;29,1;24,7;23,1;75;62;75;287;3,7;,5;
2021/01/05;2100 UTC;0;1010;1010,1;1009,9;244,5;28,3;24;29,6;28,3;24,7;23,2;79;71;77;316;3;,4;
2021/01/05;2200 UTC;0;1010,7;1010,7;1009,9;47,9;27,2;24,1;28,3;27,2;24,4;23,9;84;77;83;279;2,8;0;
2021/01/05;2300 UTC;0;1011,2;1011,3;1010,7;;26,7;24,2;27,2;26,7;24,4;24;86;83;86;137;1,7;0;
2021/01/06;0000 UTC;0;1011,3;1011,3;1011,1;;26,4;23,9;26,9;26,4;24,3;23,7;87;84;86;141;2,3;0;
2021/01/06;0100 UTC;0;1011,8;1011,9;1011,3;;25,7;24;26,5;25,7;24,3;23,9;91;86;91;101;2,2;,2;
2021/01/06;0200 UTC;0;1011,4;1011,9;1011,4;;25,2;23,8;25,7;25,2;24;23,7;92;91;92;145;2,4;0;
2021/01/06;0300 UTC;;;;;;;;;;;;;;;;;;
2021/01/06;0400 UTC;;;;;;;;;;;;;;;;;;
2021/01/06;0500 UTC;;;;;;;;;;;;;;;;;;
2021/01/06;0600 UTC;;;;;;;;;;;;;;;;;;
2021/01/06;0700 UTC;;;;;;;;;;;;;;;;;;
2021/01/06;0800 UTC;;;;;;;;;;;;;;;;;;
2021/01/06;0900 UTC;0;1011,3;;;81,2;24,2;23;;;;;;;93;121;;,1;
2021/01/06;1000 UTC;0;1011,5;1011,5;1011,3;301,8;25,8;23,6;25,8;24,2;23,6;23;93;87;88;102;1,7;0;
2021/01/06;1100 UTC;0;1011,5;1011,5;1011,4;892,7;27,6;24,5;27,6;25,8;24,5;23,5;88;82;83;257;2,8;,3;
2021/01/06;1200 UTC;0;1011,4;1011,6;1011,4;1605;29,6;24,8;29,8;27,1;25,7;23,8;85;74;75;271;2,8;,1;
2021/01/06;1300 UTC;0;1011,2;1011,4;1011,2;2994,2;29,6;24,8;30,7;28,8;26,5;24,6;82;74;75;275;4,6;1,7;
2021/01/06;1400 UTC;0;1010,9;1011,1;1010,7;2958,1;30,1;24,6;30,9;29,2;26,2;24,3;81;72;72;283;4,7;2,7;
2021/01/06;1500 UTC;0;1009,7;1010,9;1009,7;3650,7;33,3;25,4;33,5;30;25,9;24,5;75;62;63;259;4,5;1;
2021/01/06;1600 UTC;0;1009,2;1009,7;1009,1;3861;32,8;25,4;34,3;32;26,6;24,7;70;61;65;240;5,2;1,3;
2021/01/06;1700 UTC;0;1008,7;1009,3;1008,7;2662;30,1;25;32,8;30;27,3;24,6;77;64;74;177;6,5;3,1;
2021/01/06;1800 UTC;0;1008,5;1008,8;1008,4;2908,3;32,9;25,4;33,9;30;26,5;24,8;75;63;65;203;6,5;1,4;
2021/01/06;1900 UTC;0;1008,3;1008,6;1008,1;1802,3;30,9;25,3;33,6;30,7;26,2;24,2;73;63;72;333;5,1;1,8;
2021/01/06;2000 UTC;0;1009,4;1009,4;1008,3;310,9;28,3;23,3;30,9;28,3;25,8;23,2;79;69;74;312;6,2;4,2;
2021/01/06;2100 UTC;,8;1010,4;1010,4;1009,4;61,2;26,4;24,9;28,3;25,9;25;23,6;93;75;91;88;6,2;,1;
2021/01/06;2200 UTC;,4;1010,8;1010,9;1010,4;11,8;26,6;25;26,8;26,2;25,2;24,7;93;89;91;289;4,8;,1;
2021/01/06;2300 UTC;,6;1010,5;1011;1010,5;;25,8;24,6;27,1;25,8;25,8;24,6;95;91;93;160;2,8;0;
2021/01/07;0000 UTC;,2;1010,7;1010,7;1010,4;;24,6;23,2;26,5;24,6;25,3;23,2;95;91;92;212;1,9;0;
2021/01/07;0100 UTC;,4;1011,4;1011,4;1010,7;2,3;25,2;23,4;25,5;24,6;23,8;22,8;92;88;90;89;2;,1;
2021/01/07;0200 UTC;,2;1012,2;1012,3;1011,4;;24,7;23,7;25,2;24,7;24;23,4;94;90;94;89;4,5;1,3;
2021/01/07;0300 UTC;;;;;;;;;;;;;;;;;;
2021/01/07;0400 UTC;;;;;;;;;;;;;;;;;;
2021/01/07;0500 UTC;;;;;;;;;;;;;;;;;;
2021/01/07;0600 UTC;;;;;;;;;;;;;;;;;;
2021/01/07;0700 UTC;;;;;;;;;;;;;;;;;;
2021/01/07;0800 UTC;;;;;;;;;;;;;;;;;;
2021/01/07;0900 UTC;0;1009;;;17,7;23,5;21,6;;;;;;;89;109;;,1;
2021/01/07;1000 UTC;0;1009,3;1009,3;1009;336,4;25,2;21,5;25,2;23,5;21,8;21,3;89;79;80;96;2,3;,3;
2021/01/07;1100 UTC;0;1009,4;1009,5;1009,2;999,7;27,5;22,8;27,5;25,2;23;21,3;81;75;76;296;2,1;,1;
2021/01/07;1200 UTC;0;1009,9;1009,9;1009,4;1528,9;28,3;23,3;28,5;27,2;23,9;22,4;78;72;74;282;2,9;1,4;
2021/01/07;1300 UTC;0;1009,8;1009,9;1009,8;2454;30;22,9;31,2;28,2;24,7;22,5;76;62;66;275;4,3;1,2;
2021/01/07;1400 UTC;0;1009,6;1009,9;1009,6;3118,7;32,4;25;32,4;30;25,1;22,4;69;61;65;283;3,3;,4;
2021/01/07;1500 UTC;0;1009,5;1009,7;1009,5;2089,5;31,3;22,5;33;30,8;25,6;22,3;71;58;60;302;4,9;1,9;
2021/01/07;1600 UTC;0;1008,7;1009,5;1008,7;2969,6;33,7;23,4;34,7;30,9;24,6;22,7;69;52;55;292;3,7;,9;
2021/01/07;1700 UTC;0;1008;1008,7;1008;3224;34,9;23,8;34,9;31,8;26,6;23,3;71;51;53;252;4,3;1,1;
2021/01/07;1800 UTC;0;1007,8;1008;1007,5;1736;32;22,8;34,8;31,7;24,8;21,4;59;50;58;196;5,4;,9;
2021/01/07;1900 UTC;0;1008,3;1008,4;1007,6;778,3;29,4;23,2;32;29,3;24,9;21,8;76;56;69;230;7;,6;
2021/01/07;2000 UTC;0;1008,7;1008,9;1008;244,4;29;22,6;29,8;29;23,6;21,7;71;63;68;44;3,8;1,9;
2021/01/07;2100 UTC;0;1008,4;1008,7;1008,4;57;28,1;23,2;29,1;28,1;23,4;22,3;75;68;75;100;3,9;,2;
